Month,Plan as of Sep-25,Plan as of Nov-25,% change
Apr-25,504.0,504.0,0.0
May-25,261.0,261.0,0.0
Jun-25,508.0,508.0,0.0
Jul-25,428.0,428.0,0.0
Aug-25,428.0,428.0,0.0
Sep-25,358.0,358.0,0.0
Oct-25,428.0,428.0,0.0
Nov-25,321.0,321.0,0.0
Dec-25,401.0,455.0,13.46633416458853
Jan-26,187.0,214.0,14.438502673796792
Feb-26,241.0,268.0,11.203319502074688
Mar-26,241.0,268.0,11.203319502074688
