,Material Stock Movement  - Apr '22 Std ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"1,269",,,,,,,548,,,,,,,-301,,,,,,,-12,,,,,,,202,,,,,,,-369,,,,,,,14,,,,,,,-130,,,,,,,257,,,,,,,402,,,,,,,-459,,,,,,,"-1,558",,,,,,,,
,"Capacitor          
Unit: KUSD",STD Inventory Setting,,,Apr-25,,,,,,,May-25,,,,,,,Jun-25,,,,,,,Jul-25,,,,,,,Aug-25,,,,,,,Sep-25,,,,,,,Oct-25,,,,,,,Nov-25,,,,,,,Dec-25,,,,,,,Jan-26,,,,,,,Feb-26,,,,,,,Mar-26,,,,,,,FY26 1H,,,,,,
,,STD Inv,BP Inv,C/B,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days
,,,,Fct,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,BP,T/F,BP,T/F,BP,T/F,T/F
 EL ,Element ,18,28,"5,119","13,452","13,339","-10,597","-10,968","7,974","7,490",18,"8,760","9,407","-12,160","-12,316","4,090","4,581",11,"11,019","12,115","-11,858","-12,206","3,742","4,490",10,"13,110","13,230","-12,711","-12,980","4,889","4,739",11,"12,226","12,271","-13,330","-13,292","3,635","3,719",9,"13,340","13,338","-12,709","-12,997","4,350","4,059",9,"12,552","12,723","-12,979","-13,233","3,633","3,549",9,"13,919","14,219","-12,118","-12,373","5,435","5,394",14,"13,293","13,268","-11,901","-11,557","6,827","7,105",21,"6,521","5,868","-10,767","-10,156","2,581","2,817",10,"9,355","8,484","-8,440","-8,407","3,496","2,893",9,"12,649","12,756","-8,187","-9,225","7,958","6,425",17,"58,427",,"-60,202","-11,148","5,366",,0
