" LB, MO ",Assembly (MO) + (LB),,,475,,,-100,305,375,780,,,,-384,-309,396,471,,,,10,101,481,572,,,,-90,112,482,684,,,,-172,-54,512,630,,,,-129,-167,501,463,,,,6,33,507,496,,,,1,7,508,503,,,,-10,-7,498,496,,,,-11,-6,487,490,,,,-19,-8,468,482,,,,-1,9,467,490,,,,14,,384,,
,Total (Without GIT),,,"6,850","15,719","15,445","-12,511","-12,553","10,057","9,742",,"10,650","11,298","-14,660","-14,805","5,733","6,235",,"13,370","14,400","-13,746","-14,123","5,859","6,512",,"15,552","15,681","-14,988","-15,028","7,076","7,164",,"14,267","14,320","-15,695","-15,542","5,736","5,942",,"15,510","15,412","-14,983","-15,315","6,469","6,039",,"15,406","14,768","-14,977","-15,165","6,898","5,642",,"15,928","15,904","-14,518","-14,169","8,308","7,377",,"14,205","15,340","-13,803","-13,916","8,710","8,801",,"5,967","7,851","-8,906","-12,609","5,770","4,044",,"8,847","10,827","-8,805","-9,925","5,812","4,946",,"11,425","14,057","-8,855","-9,620","8,381","9,384",,"69,677",0,"-71,247","-12,797","7,006",0,
,GIT,,,,,,,,,"1,584",,,,,,131,176,,,,,,"1,163",210,,,,,,100,,,,,,,100,96,,,,,,,62,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,21,,,,,,,,
,Total (With GIT),,,"6,850","15,719","15,445","-12,511","-12,553","10,057","11,326",23,"10,650","11,298","-14,660","-14,805","5,864","6,412",14,"13,370","14,400","-13,746","-14,123","7,022","6,721",13,"15,552","15,681","-14,988","-15,028","7,176","7,164",14,"14,267","14,320","-15,695","-15,542","5,836","6,038",12,"15,510","15,412","-14,983","-15,315","6,469","6,100",12,"15,406","14,768","-14,977","-15,165","6,898","5,746",12,"15,928","15,904","-14,518","-14,169","8,308","7,377",16,"14,205","15,340","-13,803","-13,916","8,710","8,801",21,"5,967","7,851","-8,906","-12,609","5,770","4,044",12,"8,847","10,827","-8,805","-9,925","5,812","4,946",15,"11,425","14,057","-8,855","-9,620","8,411","9,404",22,"69,677",0,"-71,247","-12,797","7,006",0,0
,,,,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, TRUE ,,,,,,, FALSE ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,207,,,,,,,-38,,,,,,,23,,,,,,,-121,,,,,,,-168,,,,,,,-149,,,,,,,0,,,,,,,-28,,,,,,,-24,,,,,,,-53,,,,,,,-111,,,,,,,-89,,,,,,,,
,"Inductor              
Unit: KUSD",STD Inventory Setting,,,Apr-25,,,,,,,May-25,,,,,,,Jun-25,,,,,,,Jul-25,,,,,,,Aug-25,,,,,,,Sep-25,,,,,,,Oct-25,,,,,,,Nov-25,,,,,,,Dec-25,,,,,,,Jan-26,,,,,,,Feb-26,,,,,,,Mar-26,,,,,,,FY26 1H,,,,,,
,,STD Inv,BP Inv,C/B,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days,Pur,,Consumption,,C/B,,Inv Days
,,,,Fct,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,Act,L/F,Act,L/F,Act,Act,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,L/F,T/F,L/F,T/F,L/F,T/F,T/F,BP,T/F,BP,T/F,BP,T/F,T/F
,Magnetic Powder,25,45,485,722,602,-548,-502,659,585,34,602,622,-540,-516,648,692,39,583,584,-521,-527,753,749,41,594,588,-539,-553,803,783,41,450,455,-539,-569,694,669,35,526,511,-547,-569,648,611,33,460,460,-554,-558,554,513,28,594,594,-546,-553,602,554,32,595,596,-526,-519,672,631,36,472,459,-542,-520,601,570,33,433,392,-526,-515,508,447,27,520,527,-540,-506,488,469,27,"3,412",,"-3,394",,652,469,0
,Lead Frame,12,17,348,864,888,-788,-788,423,448,16,833,885,-810,-844,471,489,17,773,824,-828,-857,434,456,15,800,832,-865,-894,392,394,13,820,850,-863,-883,351,361,12,899,887,-877,-885,383,362,12,900,957,-888,-894,395,424,14,860,860,-875,-886,380,398,14,837,837,-843,-832,374,403,14,900,850,-869,-834,405,419,15,860,840,-844,-825,422,434,16,800,700,-869,-814,353,320,12,"5,060",,"-5,088",,456,320,0
,Copper Wire,38,61,458,363,289,-265,-248,556,499,60,198,200,-262,-250,434,449,53,312,313,-253,-254,508,507,54,212,218,-264,-281,455,444,49,334,346,-264,-271,514,519,57,257,268,-268,-274,508,513,56,334,305,-271,-273,571,545,60,234,234,-267,-271,537,508,60,200,200,-258,-254,480,454,53,260,260,-266,-255,474,459,55,270,270,-258,-252,486,477,58,274,250,-263,-246,498,481,57,"1,786",,"-1,730",,563,481,0
,Solder,14,28,261,426,426,-417,-404,271,284,19,476,476,-420,-446,339,313,21,369,367,-431,-443,251,237,15,513,513,-450,-467,300,283,18,417,417,-450,-477,251,223,14,417,479,-457,-470,184,232,15,500,463,-462,-466,222,230,15,419,419,-456,-462,185,187,13,427,427,-439,-433,173,180,12,430,430,-453,-434,150,176,12,440,440,-439,-430,151,186,13,450,390,-451,-422,150,154,11,"2,894",,"-2,926",,222,154,0
,Silicon Resin,37,54,165,146,157,-156,-146,155,176,35,125,173,-150,-149,151,200,35,177,177,-150,-174,227,203,46,126,66,-156,-131,172,138,26,169,229,-156,-159,151,208,41,183,177,-158,-150,232,235,44,113,110,-160,-162,185,183,34,145,145,-158,-160,171,168,33,201,201,-152,-150,220,219,43,120,140,-157,-151,183,208,42,183,160,-152,-149,213,219,45,127,120,-157,-147,183,192,39,"1,058",,"-1,033",,215,192,0
,Raw Material,,,,626,620,-626,-620,0,0,0,593,594,-593,-594,0,0,0,640,620,-640,-620,0,0,0,580,389,-580,-389,0,0,0,600,542,-600,-542,0,0,0,498,473,-498,-473,0,0,0,498,498,-498,-498,0,0,0,498,498,-498,-498,0,0,0,498,498,-498,-498,0,0,0,498,498,-498,-498,0,0,0,498,498,-498,-498,0,0,0,498,498,-498,-498,0,0,0,"2,794",,"-2,794",,,,0
