Hedged,Unhedged
4886.831276,4427.454434111935
4886.831276,7113.168724540776
4886.831276,4941.740152843425
4886.831276,7570.311584139783
4886.831276,7770.3115839093425
4886.831276,7113.1687242230355
2767.361111,8946.924598791828
2767.361111,6575.49603206527
2767.361111,6318.353174791993
2767.361111,6261.210318626699
2767.361111,4918.3531745384025
2767.361111,4804.067459973818
4886.831276,7770.31158401008
4886.831276,7113.168724443343
2767.361111,7232.638888579783
2767.361111,7232.638889106396
2767.361111,7232.6388887361245
2767.361111,7232.638889468906
2767.361111,7232.638888619866
2767.361111,7232.6388891094675
4886.831276,5113.1687238872555
4886.831276,5113.168724099417
4886.831276,5113.168724080674
4886.831276,5113.168723927915
