Date,Hedged price,Unhedged price,Order-Manual-Hedged,Order-Manual-Unhedged,Order-Manual Total,Order-AI-Hedged,Order-AI-Unhedged,Order-AI-Total,Demand,Manual-stock,AI-Stock,Manual-storage-cost,AI-storage-cost,AI Total,Capacity-Hedged,Capacity-Unhedged,Lead-Time-Hedged,Lead-Time-Unhedged
4/1/25,1.528815789,1.411210526,4886.831276,9513.168724,14400,4886.831276,9513.168724,14400,10314.28571,3416.894697,10046.89648,254.2857143,254.2857143,640126.0497,20000,20000,0,0
5/1/25,1.580690789,1.411210526,4886.831276,2570.311581,7457.142857,4886.831276,2570.311581,7457.142857,12000,1323.573573,13100.75818,27.14285714,27.14285714,403674.1917,15000,20000,0,0
6/1/25,1.623769737,1.461394737,4886.831276,9627.454439,14514.28571,4886.831276,9627.454439,14514.28571,9828.571429,3129.870319,15533.00086,261.4285714,261.4285714,371621.6197,15000,20000,0,0
7/1/25,1.623769737,0.974263158,4886.831276,7341.740153,12228.57143,4886.831276,7341.740153,12228.57143,12457.14286,2954.459549,17641.01825,250,250,290004.2105,15000,20000,0,0
8/1/25,1.623769737,0.974263158,4886.831276,7341.740153,12228.57143,4886.831276,15000,19886.83128,12657.14286,2719.123281,18668.11013,228.5714286,611.4844209,238437.8562,15000,20000,0,0
9/1/25,1.623769737,0.324756579,4886.831276,4456.025867,9342.857143,4886.831276,15000,19886.83128,12000,1426.688791,21344.8775,95.71428571,1005.825985,158992.6233,15000,20000,0,0
10/1/25,1.721953488,1.721953488,2764.917695,10546.9246,13314.28571,2767.361111,15000,17767.36111,11714.28571,1833.410455,20278.06167,175.7142857,1308.479755,285847.8056,15000,20000,0,0
11/1/25,1.720433106,1.720433106,2767.361111,7346.924603,10114.28571,2767.361111,3088.871887,5856.232998,9342.857143,976.8844478,17592.57678,214.2857143,1134.148547,178784.7658,15000,20000,0,0
12/1/25,1.720433106,2.293903062,2767.361111,6461.210317,9228.571429,2767.361111,0,2767.361111,9085.714286,1222.282379,13112.77821,221.4285714,818.2308886,0,15000,20000,0,0
1/1/26,1.720433106,0.286734978,2767.361111,3404.06746,6171.428571,2767.361111,0,2767.361111,9028.571429,89.73748487,8828.613374,78.57142857,505.1703727,0,15000,20000,0,0
2/1/26,1.720433106,1.43368651,2767.361111,4975.496032,7742.857143,2767.361111,0,2767.361111,7685.714286,171.1970473,4953.797503,81.42857143,259.252714,0,15000,20000,0,0
3/1/26,1.720433106,1.146951531,2767.361111,4918.353175,7685.714286,2767.361111,0,2767.361111,7571.428571,278.2982804,1126.957318,87.14285714,19.04934098,0,15000,20000,0,0
